"","OBJECTID","gap_number","plot_id","Fd","ZONAL_UNIT","SS1","SS1_","SS2","SS2_","SS3","SS3_","SS_name","SI"
"204",259,118,"118_ 259",0,"IDFdk3",5,0.5,1,0.4,8,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"205",260,134,"134_ 260",1000,"IDFdk3",1,0.9,4,0.1,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"206",261,5,"5_ 261",0,"IDFdk3",8,0.6,1,0.3,4,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"207",262,176,"176_ 262",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"208",263,173,"173_ 263",1000,"IDFdk3",7,0.8,5,0.1,8,0.1,"Fd - Feathermoss - Step moss",15
"209",264,180,"180_ 264",10000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"210",265,226,"226_ 265",19000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"211",266,88,"88_ 266",23000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"212",267,105,"105_ 267",0,"IDFdk3",8,0.6,7,0.2,1,0.2,"SxwFd - Prickly rose - Sedge",20.2
"213",268,172,"172_ 268",57000,"IDFdk3",NA,NA,NA,NA,NA,NA,NA,NA
"214",269,76,"76_ 269",9000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"215",270,115,"115_ 270",4000,"IDFdk3",5,0.5,1,0.4,8,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"216",272,111,"111_ 272",0,"IDFdk3",8,0.7,1,0.2,7,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"217",274,220,"220_ 274",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"218",275,133,"133_ 275",0,"IDFdk3",1,0.9,4,0.1,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"219",276,230,"230_ 276",11000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"220",277,185,"185_ 277",2000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
